path,noisy_labels_1,noisy_labels_5,noisy_labels_25,noisy_labels_50,is_valid
train/n02115641/n02115641_39884.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_6697.JPEG,n02115641,n02115641,n02115641,n02105641,False
train/n02115641/n02115641_6844.JPEG,n02115641,n02115641,n02088364,n02115641,False
train/n02115641/n02115641_4256.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_368.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_3109.JPEG,n02115641,n02115641,n02115641,n02099601,False
train/n02115641/n02115641_1428.JPEG,n02115641,n02086240,n02115641,n02115641,False
train/n02115641/n02115641_27394.JPEG,n02115641,n02115641,n02115641,n02099601,False
train/n02115641/n02115641_12623.JPEG,n02115641,n02115641,n02115641,n02089973,False
train/n02115641/n02115641_1067.JPEG,n02115641,n02093754,n02115641,n02115641,False
train/n02115641/n02115641_12873.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_16058.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_27298.JPEG,n02115641,n02115641,n02086240,n02089973,False
train/n02115641/n02115641_9147.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_2079.JPEG,n02115641,n02115641,n02115641,n02087394,False
train/n02115641/n02115641_635.JPEG,n02115641,n02088364,n02115641,n02115641,False
train/n02115641/n02115641_7549.JPEG,n02115641,n02115641,n02105641,n02115641,False
train/n02115641/n02115641_2288.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_52488.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_3497.JPEG,n02115641,n02115641,n02115641,n02099601,False
train/n02115641/n02115641_387.JPEG,n02115641,n02115641,n02105641,n02093754,False
train/n02115641/n02115641_5815.JPEG,n02115641,n02115641,n02115641,n02105641,False
train/n02115641/n02115641_23555.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_7645.JPEG,n02115641,n02115641,n02099601,n02096294,False
train/n02115641/n02115641_7138.JPEG,n02115641,n02115641,n02115641,n02096294,False
train/n02115641/n02115641_18193.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/ILSVRC2012_val_00016713.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_14065.JPEG,n02115641,n02115641,n02099601,n02089973,False
train/n02115641/n02115641_6899.JPEG,n02115641,n02115641,n02087394,n02089973,False
train/n02115641/n02115641_28977.JPEG,n02115641,n02115641,n02115641,n02089973,False
train/n02115641/n02115641_12048.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_5568.JPEG,n02115641,n02115641,n02115641,n02089973,False
train/n02115641/n02115641_11429.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_1536.JPEG,n02115641,n02115641,n02111889,n02086240,False
train/n02115641/n02115641_3814.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_8096.JPEG,n02115641,n02115641,n02115641,n02089973,False
train/n02115641/n02115641_11814.JPEG,n02115641,n02115641,n02089973,n02115641,False
train/n02115641/n02115641_2596.JPEG,n02115641,n02115641,n02115641,n02087394,False
train/n02115641/n02115641_43138.JPEG,n02115641,n02115641,n02105641,n02115641,False
train/n02115641/n02115641_8157.JPEG,n02115641,n02115641,n02115641,n02105641,False
train/n02115641/n02115641_4923.JPEG,n02115641,n02115641,n02115641,n02105641,False
train/n02115641/n02115641_41296.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_51259.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_15666.JPEG,n02115641,n02115641,n02086240,n02115641,False
train/n02115641/n02115641_44778.JPEG,n02115641,n02088364,n02115641,n02115641,False
train/n02115641/n02115641_1145.JPEG,n02115641,n02115641,n02096294,n02089973,False
train/n02115641/n02115641_21543.JPEG,n02115641,n02115641,n02115641,n02093754,False
train/n02115641/n02115641_9135.JPEG,n02115641,n02115641,n02115641,n02105641,False
train/n02115641/n02115641_13605.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_12356.JPEG,n02115641,n02115641,n02089973,n02115641,False
train/n02115641/n02115641_11134.JPEG,n02115641,n02115641,n02115641,n02111889,False
train/n02115641/n02115641_8183.JPEG,n02115641,n02115641,n02115641,n02089973,False
train/n02115641/n02115641_40058.JPEG,n02115641,n02115641,n02087394,n02115641,False
train/n02115641/n02115641_11668.JPEG,n02115641,n02115641,n02115641,n02105641,False
train/n02115641/ILSVRC2012_val_00034729.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_3949.JPEG,n02115641,n02115641,n02115641,n02087394,False
train/n02115641/n02115641_10804.JPEG,n02115641,n02115641,n02099601,n02088364,False
train/n02115641/n02115641_8098.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_5913.JPEG,n02115641,n02115641,n02105641,n02096294,False
train/n02115641/ILSVRC2012_val_00031077.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_2679.JPEG,n02115641,n02115641,n02087394,n02111889,False
train/n02115641/n02115641_7355.JPEG,n02115641,n02115641,n02115641,n02086240,False
train/n02115641/n02115641_31956.JPEG,n02115641,n02115641,n02115641,n02088364,False
train/n02115641/n02115641_2347.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_5259.JPEG,n02115641,n02115641,n02115641,n02099601,False
train/n02115641/n02115641_4106.JPEG,n02115641,n02115641,n02105641,n02115641,False
train/n02115641/n02115641_10506.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_9304.JPEG,n02115641,n02115641,n02115641,n02093754,False
train/n02115641/n02115641_2194.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_14268.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_26457.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_52427.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_10649.JPEG,n02115641,n02115641,n02115641,n02105641,False
train/n02115641/n02115641_4655.JPEG,n02115641,n02115641,n02099601,n02115641,False
train/n02115641/n02115641_6627.JPEG,n02115641,n02115641,n02096294,n02115641,False
train/n02115641/n02115641_9685.JPEG,n02115641,n02115641,n02115641,n02089973,False
train/n02115641/n02115641_9449.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_136.JPEG,n02115641,n02115641,n02089973,n02115641,False
train/n02115641/n02115641_7878.JPEG,n02115641,n02115641,n02096294,n02088364,False
train/n02115641/n02115641_10407.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_26558.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_4046.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_49995.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_27608.JPEG,n02115641,n02115641,n02087394,n02115641,False
train/n02115641/n02115641_5205.JPEG,n02115641,n02115641,n02105641,n02115641,False
train/n02115641/n02115641_4178.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_25969.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_9555.JPEG,n02115641,n02115641,n02105641,n02115641,False
train/n02115641/n02115641_8426.JPEG,n02115641,n02115641,n02089973,n02115641,False
train/n02115641/n02115641_14359.JPEG,n02115641,n02105641,n02115641,n02115641,False
train/n02115641/n02115641_8565.JPEG,n02115641,n02115641,n02115641,n02089973,False
train/n02115641/n02115641_5183.JPEG,n02115641,n02115641,n02115641,n02086240,False
train/n02115641/n02115641_6995.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_23075.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_11397.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_12168.JPEG,n02115641,n02115641,n02115641,n02089973,False
train/n02115641/n02115641_12453.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_23.JPEG,n02115641,n02115641,n02087394,n02115641,False
train/n02115641/n02115641_6716.JPEG,n02115641,n02115641,n02115641,n02105641,False
train/n02115641/n02115641_7679.JPEG,n02115641,n02115641,n02099601,n02115641,False
train/n02115641/n02115641_5886.JPEG,n02115641,n02115641,n02096294,n02105641,False
train/n02115641/n02115641_8228.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/ILSVRC2012_val_00036464.JPEG,n02115641,n02115641,n02088364,n02087394,False
train/n02115641/n02115641_32316.JPEG,n02115641,n02115641,n02089973,n02115641,False
train/n02115641/n02115641_10896.JPEG,n02115641,n02115641,n02099601,n02115641,False
train/n02115641/n02115641_1903.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_22465.JPEG,n02086240,n02115641,n02115641,n02093754,False
train/n02115641/n02115641_8793.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_3214.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_4327.JPEG,n02115641,n02115641,n02115641,n02105641,False
train/n02115641/n02115641_7109.JPEG,n02115641,n02115641,n02115641,n02105641,False
train/n02115641/n02115641_10705.JPEG,n02115641,n02115641,n02115641,n02088364,False
train/n02115641/n02115641_20388.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_11684.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_604.JPEG,n02115641,n02115641,n02115641,n02096294,False
train/n02115641/n02115641_6639.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_3706.JPEG,n02115641,n02115641,n02115641,n02096294,False
train/n02115641/n02115641_3894.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_2408.JPEG,n02115641,n02115641,n02115641,n02105641,False
train/n02115641/n02115641_14328.JPEG,n02115641,n02115641,n02096294,n02089973,False
train/n02115641/n02115641_26994.JPEG,n02115641,n02115641,n02115641,n02111889,False
train/n02115641/n02115641_48.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_5004.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_1494.JPEG,n02115641,n02115641,n02086240,n02096294,False
train/n02115641/n02115641_13839.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_377.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_12986.JPEG,n02115641,n02115641,n02115641,n02099601,False
train/n02115641/n02115641_1547.JPEG,n02115641,n02088364,n02096294,n02115641,False
train/n02115641/n02115641_16754.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_4925.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_1786.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_9529.JPEG,n02115641,n02115641,n02115641,n02099601,False
train/n02115641/n02115641_20764.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_4439.JPEG,n02115641,n02115641,n02115641,n02096294,False
train/n02115641/n02115641_6086.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_22979.JPEG,n02115641,n02115641,n02096294,n02115641,False
train/n02115641/n02115641_14028.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_2258.JPEG,n02115641,n02115641,n02115641,n02099601,False
train/n02115641/n02115641_1184.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_12634.JPEG,n02096294,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_6109.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_2615.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_8474.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_5014.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_10706.JPEG,n02115641,n02115641,n02115641,n02088364,False
train/n02115641/n02115641_17653.JPEG,n02115641,n02115641,n02086240,n02093754,False
train/n02115641/n02115641_3625.JPEG,n02115641,n02115641,n02089973,n02115641,False
train/n02115641/n02115641_39877.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_2247.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_3366.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_1154.JPEG,n02115641,n02115641,n02115641,n02086240,False
train/n02115641/n02115641_6183.JPEG,n02115641,n02115641,n02115641,n02099601,False
train/n02115641/n02115641_24685.JPEG,n02115641,n02115641,n02086240,n02093754,False
train/n02115641/n02115641_3355.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/ILSVRC2012_val_00021767.JPEG,n02115641,n02115641,n02115641,n02087394,False
train/n02115641/n02115641_623.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_20877.JPEG,n02115641,n02115641,n02115641,n02086240,False
train/n02115641/n02115641_16147.JPEG,n02115641,n02088364,n02115641,n02099601,False
train/n02115641/n02115641_32256.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_26345.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_4328.JPEG,n02115641,n02115641,n02115641,n02093754,False
train/n02115641/n02115641_23746.JPEG,n02115641,n02115641,n02115641,n02087394,False
train/n02115641/n02115641_7298.JPEG,n02115641,n02115641,n02115641,n02086240,False
train/n02115641/n02115641_12549.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_4973.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_7683.JPEG,n02115641,n02115641,n02115641,n02099601,False
train/n02115641/n02115641_41516.JPEG,n02115641,n02115641,n02115641,n02099601,False
train/n02115641/n02115641_4977.JPEG,n02115641,n02115641,n02089973,n02115641,False
train/n02115641/n02115641_12465.JPEG,n02115641,n02115641,n02096294,n02115641,False
train/n02115641/n02115641_3994.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_7627.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_26349.JPEG,n02115641,n02115641,n02115641,n02089973,False
train/n02115641/n02115641_7729.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_9405.JPEG,n02115641,n02115641,n02115641,n02105641,False
train/n02115641/n02115641_33429.JPEG,n02115641,n02115641,n02115641,n02093754,False
train/n02115641/n02115641_1185.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_27848.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_9675.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_50365.JPEG,n02115641,n02115641,n02115641,n02086240,False
train/n02115641/n02115641_5437.JPEG,n02115641,n02115641,n02115641,n02087394,False
train/n02115641/n02115641_8768.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_159.JPEG,n02115641,n02115641,n02089973,n02115641,False
train/n02115641/n02115641_3984.JPEG,n02115641,n02115641,n02115641,n02088364,False
train/n02115641/n02115641_8329.JPEG,n02115641,n02115641,n02093754,n02086240,False
train/n02115641/n02115641_6469.JPEG,n02115641,n02115641,n02111889,n02115641,False
train/n02115641/n02115641_52457.JPEG,n02115641,n02115641,n02086240,n02115641,False
train/n02115641/n02115641_14475.JPEG,n02115641,n02115641,n02115641,n02088364,False
train/n02115641/n02115641_26966.JPEG,n02115641,n02115641,n02115641,n02089973,False
train/n02115641/n02115641_5945.JPEG,n02115641,n02115641,n02115641,n02096294,False
train/n02115641/n02115641_2643.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_13769.JPEG,n02115641,n02115641,n02115641,n02105641,False
train/n02115641/n02115641_3505.JPEG,n02115641,n02115641,n02099601,n02115641,False
train/n02115641/n02115641_36019.JPEG,n02115641,n02115641,n02115641,n02105641,False
train/n02115641/n02115641_18439.JPEG,n02115641,n02115641,n02087394,n02111889,False
train/n02115641/n02115641_42223.JPEG,n02115641,n02115641,n02115641,n02087394,False
train/n02115641/n02115641_13977.JPEG,n02115641,n02115641,n02093754,n02115641,False
train/n02115641/n02115641_4265.JPEG,n02115641,n02115641,n02115641,n02099601,False
train/n02115641/n02115641_12854.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_9977.JPEG,n02115641,n02115641,n02115641,n02093754,False
train/n02115641/n02115641_4194.JPEG,n02115641,n02115641,n02093754,n02115641,False
train/n02115641/n02115641_22099.JPEG,n02115641,n02115641,n02086240,n02087394,False
train/n02115641/ILSVRC2012_val_00036908.JPEG,n02115641,n02115641,n02093754,n02093754,False
train/n02115641/n02115641_11714.JPEG,n02115641,n02086240,n02115641,n02089973,False
train/n02115641/n02115641_4177.JPEG,n02115641,n02115641,n02115641,n02093754,False
train/n02115641/n02115641_3038.JPEG,n02115641,n02111889,n02115641,n02111889,False
train/n02115641/n02115641_30853.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_5015.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_5486.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_49738.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_4634.JPEG,n02115641,n02115641,n02115641,n02111889,False
train/n02115641/n02115641_3414.JPEG,n02115641,n02115641,n02115641,n02105641,False
train/n02115641/n02115641_11836.JPEG,n02115641,n02115641,n02115641,n02088364,False
train/n02115641/n02115641_11553.JPEG,n02115641,n02115641,n02115641,n02099601,False
train/n02115641/n02115641_1574.JPEG,n02115641,n02115641,n02115641,n02093754,False
train/n02115641/n02115641_1737.JPEG,n02115641,n02115641,n02115641,n02096294,False
train/n02115641/n02115641_5699.JPEG,n02115641,n02087394,n02115641,n02115641,False
train/n02115641/n02115641_6953.JPEG,n02115641,n02115641,n02099601,n02086240,False
train/n02115641/n02115641_27506.JPEG,n02115641,n02115641,n02115641,n02089973,False
train/n02115641/n02115641_2963.JPEG,n02115641,n02115641,n02115641,n02086240,False
train/n02115641/n02115641_3255.JPEG,n02115641,n02115641,n02115641,n02087394,False
train/n02115641/n02115641_12515.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_1635.JPEG,n02115641,n02115641,n02115641,n02111889,False
train/n02115641/n02115641_8168.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_11639.JPEG,n02115641,n02115641,n02115641,n02105641,False
train/n02115641/n02115641_2875.JPEG,n02115641,n02115641,n02105641,n02115641,False
train/n02115641/n02115641_47684.JPEG,n02115641,n02115641,n02105641,n02115641,False
train/n02115641/n02115641_3933.JPEG,n02115641,n02115641,n02087394,n02111889,False
train/n02115641/n02115641_8118.JPEG,n02115641,n02115641,n02115641,n02088364,False
train/n02115641/n02115641_11528.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_10895.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_10784.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_1327.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_11667.JPEG,n02115641,n02115641,n02115641,n02105641,False
train/n02115641/n02115641_8904.JPEG,n02115641,n02115641,n02111889,n02115641,False
train/n02115641/n02115641_8446.JPEG,n02115641,n02115641,n02115641,n02096294,False
train/n02115641/n02115641_2424.JPEG,n02115641,n02115641,n02115641,n02096294,False
train/n02115641/n02115641_8554.JPEG,n02115641,n02105641,n02115641,n02105641,False
train/n02115641/n02115641_5098.JPEG,n02115641,n02115641,n02115641,n02088364,False
train/n02115641/n02115641_3687.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/ILSVRC2012_val_00000604.JPEG,n02115641,n02115641,n02115641,n02086240,False
train/n02115641/n02115641_5616.JPEG,n02115641,n02115641,n02115641,n02093754,False
train/n02115641/n02115641_48517.JPEG,n02115641,n02115641,n02115641,n02093754,False
train/n02115641/n02115641_1817.JPEG,n02105641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_23206.JPEG,n02115641,n02115641,n02115641,n02089973,False
train/n02115641/n02115641_3115.JPEG,n02115641,n02115641,n02088364,n02087394,False
train/n02115641/n02115641_3409.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_10238.JPEG,n02115641,n02115641,n02099601,n02115641,False
train/n02115641/n02115641_32936.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_6944.JPEG,n02115641,n02115641,n02115641,n02093754,False
train/n02115641/n02115641_39463.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_2513.JPEG,n02115641,n02115641,n02115641,n02088364,False
train/n02115641/n02115641_12836.JPEG,n02115641,n02115641,n02115641,n02089973,False
train/n02115641/ILSVRC2012_val_00041777.JPEG,n02115641,n02115641,n02093754,n02105641,False
train/n02115641/n02115641_22536.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_22743.JPEG,n02115641,n02115641,n02105641,n02089973,False
train/n02115641/n02115641_3088.JPEG,n02115641,n02115641,n02115641,n02087394,False
train/n02115641/n02115641_3698.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_13253.JPEG,n02115641,n02115641,n02111889,n02099601,False
train/n02115641/n02115641_6185.JPEG,n02115641,n02115641,n02086240,n02115641,False
train/n02115641/n02115641_8017.JPEG,n02115641,n02115641,n02115641,n02115641,False
train/n02115641/n02115641_5416.JPEG,n02115641,n02115641,n02115641,n02115641,False
